"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Curacao","CUW","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.05","0.05","0.05","0.05","0.03","0.02","0.03","0.03","0.28","0.29","0.3","0.28","0.3","0.3","0.27","0.25","0.24","0.27","0.25","0.24","0.51","0.54","0.51","0.62","0.96","1.44","2.13","2.38","2.3","2.15","","",
"Cayman Islands","CYM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.82","1.69","1.78","1.71","1.75","1.65","1.62","1.64","1.54","1.8","1.85","1.86","2.18","2.15","2.27","2.59","3.07","3.65","4.6","4.5","4.78","4.63","4.59","4.8","4.97","5.64","6.25","6.6","","",
"Czechia","CZE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78","7.2","7.52","7.99","8.51","8.05","8.17","7.84","8.47","9.25","8.95","9.5","11.9","15.34","15.43","14.76","15.21","15.23","15.77","17.28","16.95","17.91","19.31","19.66","19.85","17.69","16.18","18.06","18.97","19.55","20.63","19.94","20.64","22.22","",
"Germany","DEU","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.77","11.53","12.71","12.42","12.36","12.47","12.6","13.4","12.86","13.9","13.96","13.74","13.72","13.76","14.04","13.86","13.91","12.86","13.38","13.19","13.14","11.6","11.17","10.97","11.69","11.88","11.25","11.26","11.73","12.46","12.62","12.13","10.22","9.03","",
"Djibouti","DJI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.36","0.46","0.51","0.54","0.57","0.52","0.86","1.27","1.42","2.02","1.99","2.28","2.44","2.98","3.1","2.69","3.22","3.2","3.23","3.58","4.82","5.36","5.98","7.45","8.08","7.35","8.36","8.1","9.64","10.31","9.67","12.3","13.88","",
"Dominican Republic","DOM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","1.08","1.02","2.23","0.92","0.99","1.36","0.94","1.27","1.81","1.14","0.94","1.12","1.73","2.05","2.35","2.11","1.94","1.67","1.8","1.67","1.77","2.1","2.43","1.8","1.39","1.93","2.75","2.41","2.08","2.83","2.98","2.51","","",
"Algeria","DZA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.11","0.07","0.13","0.06","0.07","0.05","0.03","0.07","0.07","0.02","0.02","0.02","0.07","0.07","0.15","0.05","0.05","0.07","0.06","0.04","0.1","0.11","0.06","0.04","0.03","0.05","0.09","0.11","0.11","0.1","0.09","0.09","","",
